"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002M","B03002_002MA","B03002_002EA","B03002_003E","B03002_003M","B03002_003MA","B03002_003EA","B03002_004E","B03002_004EA","B03002_004M","B03002_004MA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007EA","B03002_007M","B03002_007MA","B03002_008E","B03002_008M","B03002_008MA","B03002_008EA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010EA","B03002_010M","B03002_010MA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013M","B03002_013MA","B03002_013EA","B03002_014E","B03002_014EA","B03002_014M","B03002_014MA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016EA","B03002_016M","B03002_016MA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019M","B03002_019MA","B03002_019EA","B03002_020E","B03002_020EA","B03002_020M","B03002_020MA","B03002_021E","B03002_021EA","B03002_021M","B03002_021MA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:","Annotation of Estimate!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Annotation of Margin of Error!!Total:!!Hispanic or Latino:","Annotation of Estimate!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US49001100100","Census Tract 1001, Beaver County, Utah","3319","189","null","null","2985","130","null","null","2940","144","null","null","0","null","11","null","45","null","70","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","null","11","null","0","11","null","null","334","179","null","null","298","173","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","null","11","null","36","null","50","null","0","11","null","null","0","null","11","null","0","null","11","null",
"1400000US49001100200","Census Tract 1002, Beaver County, Utah","3198","189","null","null","2752","130","null","null","2556","144","null","null","0","null","11","null","18","null","21","null","19","null","43","null","0","null","11","null","0","11","null","null","159","null","82","null","0","null","11","null","159","82","null","null","446","179","null","null","309","166","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","null","11","null","127","null","93","null","10","16","null","null","0","null","11","null","10","null","16","null",
"1400000US49003960100","Census Tract 9601, Box Elder County, Utah","3265","359","null","null","3191","365","null","null","3073","362","null","null","28","null","36","null","8","null","7","null","14","null","11","null","0","null","11","null","0","11","null","null","68","null","65","null","0","null","11","null","68","65","null","null","74","47","null","null","56","39","null","null","0","null","11","null","1","null","2","null","0","null","11","null","0","null","11","null","15","null","24","null","2","5","null","null","0","null","11","null","2","null","5","null",
"1400000US49003960200","Census Tract 9602, Box Elder County, Utah","7929","492","null","null","7237","432","null","null","7117","431","null","null","11","null","21","null","43","null","46","null","27","null","30","null","16","null","23","null","2","4","null","null","21","null","19","null","0","null","16","null","21","19","null","null","692","410","null","null","610","417","null","null","0","null","16","null","0","null","16","null","0","null","16","null","0","null","16","null","69","null","67","null","13","13","null","null","9","null","11","null","4","null","6","null",
"1400000US49003960300","Census Tract 9603, Box Elder County, Utah","8960","455","null","null","7758","531","null","null","7361","539","null","null","200","null","142","null","2","null","4","null","93","null","82","null","0","null","16","null","0","16","null","null","102","null","111","null","0","null","16","null","102","111","null","null","1202","323","null","null","778","334","null","null","0","null","16","null","0","null","16","null","0","null","16","null","0","null","16","null","278","null","166","null","146","164","null","null","146","null","164","null","0","null","16","null",
"1400000US49003960400","Census Tract 9604, Box Elder County, Utah","4913","300","null","null","4481","359","null","null","4216","368","null","null","3","null","7","null","178","null","190","null","68","null","41","null","0","null","11","null","0","11","null","null","16","null","39","null","0","null","11","null","16","39","null","null","432","265","null","null","178","94","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","null","11","null","254","null","267","null","0","11","null","null","0","null","11","null","0","null","11","null",
"1400000US49003960500","Census Tract 9605, Box Elder County, Utah","5548","375","null","null","5002","424","null","null","4749","449","null","null","11","null","15","null","84","null","87","null","20","null","29","null","0","null","16","null","44","66","null","null","94","null","70","null","0","null","16","null","94","70","null","null","546","195","null","null","188","119","null","null","7","null","15","null","76","null","69","null","0","null","16","null","0","null","16","null","246","null","166","null","29","45","null","null","29","null","45","null","0","null","16","null",
"1400000US49003960601","Census Tract 9606.01, Box Elder County, Utah","3638","297","null","null","3258","284","null","null","3258","284","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","null","11","null","0","11","null","null","380","107","null","null","254","142","null","null","0","null","11","null","8","null","14","null","0","null","11","null","0","null","11","null","118","null","141","null","0","11","null","null","0","null","11","null","0","null","11","null",
"1400000US49003960602","Census Tract 9606.02, Box Elder County, Utah","2378","205","null","null","2156","214","null","null","2056","210","null","null","50","null","89","null","9","null","14","null","12","null","17","null","0","null","11","null","0","11","null","null","29","null","28","null","9","null","15","null","20","24","null","null","222","100","null","null","45","31","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","null","11","null","149","null","81","null","28","31","null","null","28","null","31","null","0","null","11","null",
