"GEO_ID","NAME","C02003_001E","C02003_001M","C02003_001MA","C02003_001EA","C02003_002E","C02003_002M","C02003_002MA","C02003_002EA","C02003_003E","C02003_003M","C02003_003MA","C02003_003EA","C02003_004E","C02003_004M","C02003_004MA","C02003_004EA","C02003_005E","C02003_005EA","C02003_005M","C02003_005MA","C02003_006E","C02003_006M","C02003_006MA","C02003_006EA","C02003_007E","C02003_007M","C02003_007MA","C02003_007EA","C02003_008E","C02003_008M","C02003_008MA","C02003_008EA","C02003_009E","C02003_009EA","C02003_009M","C02003_009MA","C02003_010E","C02003_010EA","C02003_010M","C02003_010MA","C02003_011E","C02003_011M","C02003_011MA","C02003_011EA","C02003_012E","C02003_012M","C02003_012MA","C02003_012EA","C02003_013E","C02003_013M","C02003_013MA","C02003_013EA","C02003_014E","C02003_014EA","C02003_014M","C02003_014MA","C02003_015E","C02003_015M","C02003_015MA","C02003_015EA","C02003_016E","C02003_016M","C02003_016MA","C02003_016EA","C02003_017E","C02003_017M","C02003_017MA","C02003_017EA","C02003_018E","C02003_018M","C02003_018MA","C02003_018EA","C02003_019E","C02003_019EA","C02003_019M","C02003_019MA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Population of one race:","Margin of Error!!Total:!!Population of one race:","Annotation of Margin of Error!!Total:!!Population of one race:","Annotation of Estimate!!Total:!!Population of one race:","Estimate!!Total:!!Population of one race:!!White","Margin of Error!!Total:!!Population of one race:!!White","Annotation of Margin of Error!!Total:!!Population of one race:!!White","Annotation of Estimate!!Total:!!Population of one race:!!White","Estimate!!Total:!!Population of one race:!!Black or African American","Margin of Error!!Total:!!Population of one race:!!Black or African American","Annotation of Margin of Error!!Total:!!Population of one race:!!Black or African American","Annotation of Estimate!!Total:!!Population of one race:!!Black or African American","Estimate!!Total:!!Population of one race:!!American Indian and Alaska Native","Annotation of Estimate!!Total:!!Population of one race:!!American Indian and Alaska Native","Margin of Error!!Total:!!Population of one race:!!American Indian and Alaska Native","Annotation of Margin of Error!!Total:!!Population of one race:!!American Indian and Alaska Native","Estimate!!Total:!!Population of one race:!!Asian","Margin of Error!!Total:!!Population of one race:!!Asian","Annotation of Margin of Error!!Total:!!Population of one race:!!Asian","Annotation of Estimate!!Total:!!Population of one race:!!Asian","Estimate!!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander","Margin of Error!!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander","Annotation of Margin of Error!!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander","Annotation of Estimate!!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander","Estimate!!Total:!!Population of one race:!!Some other race","Margin of Error!!Total:!!Population of one race:!!Some other race","Annotation of Margin of Error!!Total:!!Population of one race:!!Some other race","Annotation of Estimate!!Total:!!Population of one race:!!Some other race","Estimate!!Total:!!Population of two or more races:","Annotation of Estimate!!Total:!!Population of two or more races:","Margin of Error!!Total:!!Population of two or more races:","Annotation of Margin of Error!!Total:!!Population of two or more races:","Estimate!!Total:!!Population of two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Population of two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Population of two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Population of two or more races:!!Two races including Some other race","Estimate!!Total:!!Population of two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Population of two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Population of two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Population of two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Population of two or more races:!!Population of two races:","Margin of Error!!Total:!!Population of two or more races:!!Population of two races:","Annotation of Margin of Error!!Total:!!Population of two or more races:!!Population of two races:","Annotation of Estimate!!Total:!!Population of two or more races:!!Population of two races:","Estimate!!Total:!!Population of two or more races:!!Population of two races:!!White; Black or African American","Margin of Error!!Total:!!Population of two or more races:!!Population of two races:!!White; Black or African American","Annotation of Margin of Error!!Total:!!Population of two or more races:!!Population of two races:!!White; Black or African American","Annotation of Estimate!!Total:!!Population of two or more races:!!Population of two races:!!White; Black or African American","Estimate!!Total:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native","Annotation of Estimate!!Total:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native","Margin of Error!!Total:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native","Annotation of Margin of Error!!Total:!!Population of two or more races:!!Population of two races:!!White; American Indian and Alaska Native","Estimate!!Total:!!Population of two or more races:!!Population of two races:!!White; Asian","Margin of Error!!Total:!!Population of two or more races:!!Population of two races:!!White; Asian","Annotation of Margin of Error!!Total:!!Population of two or more races:!!Population of two races:!!White; Asian","Annotation of Estimate!!Total:!!Population of two or more races:!!Population of two races:!!White; Asian","Estimate!!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native","Margin of Error!!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native","Annotation of Margin of Error!!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native","Annotation of Estimate!!Total:!!Population of two or more races:!!Population of two races:!!Black or African American; American Indian and Alaska Native","Estimate!!Total:!!Population of two or more races:!!Population of two races:!!All other two race combinations","Margin of Error!!Total:!!Population of two or more races:!!Population of two races:!!All other two race combinations","Annotation of Margin of Error!!Total:!!Population of two or more races:!!Population of two races:!!All other two race combinations","Annotation of Estimate!!Total:!!Population of two or more races:!!Population of two races:!!All other two race combinations","Estimate!!Total:!!Population of two or more races:!!Population of three races","Margin of Error!!Total:!!Population of two or more races:!!Population of three races","Annotation of Margin of Error!!Total:!!Population of two or more races:!!Population of three races","Annotation of Estimate!!Total:!!Population of two or more races:!!Population of three races","Estimate!!Total:!!Population of two or more races:!!Population of four or more races","Annotation of Estimate!!Total:!!Population of two or more races:!!Population of four or more races","Margin of Error!!Total:!!Population of two or more races:!!Population of four or more races","Annotation of Margin of Error!!Total:!!Population of two or more races:!!Population of four or more races",
"1400000US49001100100","Census Tract 1001, Beaver County, Utah","3319","189","null","null","3319","189","null","null","3238","200","null","null","0","11","null","null","45","null","70","null","0","11","null","null","0","11","null","null","36","50","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","null","11","null",
"1400000US49001100200","Census Tract 1002, Beaver County, Utah","3198","189","null","null","3029","209","null","null","2865","198","null","null","0","11","null","null","18","null","21","null","19","43","null","null","0","11","null","null","127","93","null","null","169","null","85","null","0","null","11","null","169","85","null","null","169","85","null","null","10","16","null","null","24","null","41","null","135","97","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","null","11","null",
"1400000US49003960100","Census Tract 9601, Box Elder County, Utah","3265","359","null","null","3195","365","null","null","3129","358","null","null","28","36","null","null","9","null","8","null","14","11","null","null","0","11","null","null","15","24","null","null","70","null","66","null","0","null","11","null","70","66","null","null","70","66","null","null","3","7","null","null","2","null","5","null","64","64","null","null","0","11","null","null","1","3","null","null","0","11","null","null","0","null","11","null",
"1400000US49003960200","Census Tract 9602, Box Elder County, Utah","7929","492","null","null","7895","492","null","null","7727","497","null","null","11","21","null","null","43","null","46","null","27","30","null","null","16","23","null","null","71","66","null","null","34","null","23","null","9","null","11","null","25","22","null","null","34","23","null","null","8","15","null","null","8","null","11","null","9","11","null","null","0","16","null","null","9","11","null","null","0","16","null","null","0","null","16","null",
"1400000US49003960300","Census Tract 9603, Box Elder County, Utah","8960","455","null","null","8712","504","null","null","8139","561","null","null","200","142","null","null","2","null","4","null","93","82","null","null","0","16","null","null","278","166","null","null","248","null","207","null","146","null","164","null","102","111","null","null","248","207","null","null","0","16","null","null","41","null","61","null","61","85","null","null","0","16","null","null","146","164","null","null","0","16","null","null","0","null","16","null",
"1400000US49003960400","Census Tract 9604, Box Elder County, Utah","4913","300","null","null","4897","299","null","null","4394","376","null","null","3","7","null","null","178","null","190","null","68","41","null","null","0","11","null","null","254","267","null","null","16","null","39","null","0","null","11","null","16","39","null","null","16","39","null","null","16","39","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","null","11","null",
"1400000US49003960500","Census Tract 9605, Box Elder County, Utah","5548","375","null","null","5425","412","null","null","4937","425","null","null","18","21","null","null","160","null","110","null","20","29","null","null","0","16","null","null","290","176","null","null","123","null","97","null","29","null","45","null","94","70","null","null","104","85","null","null","0","16","null","null","41","null","34","null","0","16","null","null","0","16","null","null","63","68","null","null","19","36","null","null","0","null","16","null",
"1400000US49003960601","Census Tract 9606.01, Box Elder County, Utah","3638","297","null","null","3638","297","null","null","3512","288","null","null","0","11","null","null","8","null","14","null","0","11","null","null","0","11","null","null","118","141","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","0","null","11","null",
"1400000US49003960602","Census Tract 9606.02, Box Elder County, Utah","2378","205","null","null","2321","202","null","null","2101","210","null","null","50","89","null","null","9","null","14","null","12","17","null","null","0","11","null","null","149","81","null","null","57","null","42","null","37","null","33","null","20","24","null","null","57","42","null","null","0","11","null","null","0","null","11","null","15","17","null","null","0","11","null","null","42","34","null","null","0","11","null","null","0","null","11","null",
