"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002M","B03002_002MA","B03002_002EA","B03002_003E","B03002_003M","B03002_003MA","B03002_003EA","B03002_004E","B03002_004EA","B03002_004M","B03002_004MA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006M","B03002_006MA","B03002_006EA","B03002_007E","B03002_007EA","B03002_007M","B03002_007MA","B03002_008E","B03002_008M","B03002_008MA","B03002_008EA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010M","B03002_010MA","B03002_010EA","B03002_011E","B03002_011EA","B03002_011M","B03002_011MA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016EA","B03002_016M","B03002_016MA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019EA","B03002_019M","B03002_019MA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021EA","B03002_021M","B03002_021MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Annotation of Margin of Error!!Total!!Not Hispanic or Latino","Annotation of Estimate!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Annotation of Margin of Error!!Total!!Hispanic or Latino","Annotation of Estimate!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Annotation of Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",
"1400000US49001100100","Census Tract 1001, Beaver County, Utah","3322","187","null","null","3008","169","null","null","2958","179","null","null","0","null","11","null","50","null","61","null","0","11","null","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","null","11","null","314","140","null","null","275","null","138","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","39","null","48","null","0","null","11","null","0","11","null","null","0","null","11","null",
"1400000US49001100200","Census Tract 1002, Beaver County, Utah","3121","187","null","null","2706","169","null","null","2653","185","null","null","0","null","11","null","12","null","15","null","16","25","null","null","0","null","11","null","0","11","null","null","25","null","29","null","0","11","null","null","25","null","29","null","415","140","null","null","295","null","141","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","120","null","85","null","0","null","11","null","0","11","null","null","0","null","11","null",
"1400000US49003960100","Census Tract 9601, Box Elder County, Utah","2989","264","null","null","2880","245","null","null","2834","248","null","null","13","null","25","null","6","null","8","null","19","16","null","null","0","null","11","null","0","11","null","null","8","null","7","null","0","11","null","null","8","null","7","null","109","62","null","null","87","null","48","null","0","11","null","null","2","null","3","null","0","null","11","null","0","null","11","null","20","null","32","null","0","null","11","null","0","11","null","null","0","null","11","null",
"1400000US49003960200","Census Tract 9602, Box Elder County, Utah","7947","427","null","null","7146","413","null","null","6955","404","null","null","7","null","9","null","76","null","72","null","66","45","null","null","13","null","17","null","3","4","null","null","26","null","20","null","0","16","null","null","26","null","20","null","801","389","null","null","724","null","395","null","0","16","null","null","6","null","9","null","0","null","16","null","0","null","16","null","62","null","56","null","9","null","12","null","4","8","null","null","5","null","8","null",
"1400000US49003960300","Census Tract 9603, Box Elder County, Utah","8810","425","null","null","7423","501","null","null","6960","469","null","null","175","null","126","null","0","null","16","null","139","89","null","null","0","null","16","null","0","16","null","null","149","null","112","null","0","16","null","null","149","null","112","null","1387","339","null","null","747","null","372","null","0","16","null","null","0","null","16","null","23","null","40","null","0","null","16","null","507","null","343","null","110","null","125","null","110","125","null","null","0","null","16","null",
"1400000US49003960400","Census Tract 9604, Box Elder County, Utah","4551","304","null","null","4370","321","null","null","4198","323","null","null","2","null","3","null","132","null","154","null","38","32","null","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","null","11","null","181","85","null","null","135","null","74","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","23","null","20","null","23","null","37","null","0","11","null","null","23","null","37","null",
"1400000US49003960500","Census Tract 9605, Box Elder County, Utah","5423","363","null","null","4834","376","null","null","4514","386","null","null","38","null","38","null","49","null","63","null","32","34","null","null","0","null","16","null","41","62","null","null","160","null","78","null","0","16","null","null","160","null","78","null","589","185","null","null","200","null","112","null","8","15","null","null","82","null","75","null","0","null","16","null","0","null","16","null","273","null","170","null","26","null","44","null","26","44","null","null","0","null","16","null",
"1400000US49003960601","Census Tract 9606.01, Box Elder County, Utah","3612","298","null","null","3493","314","null","null","3493","314","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","0","null","11","null","119","90","null","null","80","null","74","null","0","11","null","null","5","null","10","null","0","null","11","null","0","null","11","null","34","null","55","null","0","null","11","null","0","11","null","null","0","null","11","null",
"1400000US49003960602","Census Tract 9606.02, Box Elder County, Utah","2456","211","null","null","2222","218","null","null","2129","191","null","null","21","null","45","null","26","null","36","null","0","11","null","null","0","null","11","null","0","11","null","null","46","null","32","null","12","13","null","null","34","null","31","null","234","109","null","null","49","null","33","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","162","null","99","null","23","null","29","null","23","29","null","null","0","null","11","null",
