"GEO_ID","NAME","C02003_001E","C02003_001EA","C02003_001M","C02003_001MA","C02003_002E","C02003_002EA","C02003_002M","C02003_002MA","C02003_003E","C02003_003M","C02003_003MA","C02003_003EA","C02003_004E","C02003_004M","C02003_004MA","C02003_004EA","C02003_005E","C02003_005EA","C02003_005M","C02003_005MA","C02003_006E","C02003_006EA","C02003_006M","C02003_006MA","C02003_007E","C02003_007EA","C02003_007M","C02003_007MA","C02003_008E","C02003_008EA","C02003_008M","C02003_008MA","C02003_009E","C02003_009EA","C02003_009M","C02003_009MA","C02003_010E","C02003_010EA","C02003_010M","C02003_010MA","C02003_011E","C02003_011EA","C02003_011M","C02003_011MA","C02003_012E","C02003_012EA","C02003_012M","C02003_012MA","C02003_013E","C02003_013M","C02003_013MA","C02003_013EA","C02003_014E","C02003_014M","C02003_014MA","C02003_014EA","C02003_015E","C02003_015M","C02003_015MA","C02003_015EA","C02003_016E","C02003_016EA","C02003_016M","C02003_016MA","C02003_017E","C02003_017EA","C02003_017M","C02003_017MA","C02003_018E","C02003_018EA","C02003_018M","C02003_018MA","C02003_019E","C02003_019EA","C02003_019M","C02003_019MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Population of one race","Annotation of Estimate!!Total!!Population of one race","Margin of Error!!Total!!Population of one race","Annotation of Margin of Error!!Total!!Population of one race","Estimate!!Total!!Population of one race!!White","Margin of Error!!Total!!Population of one race!!White","Annotation of Margin of Error!!Total!!Population of one race!!White","Annotation of Estimate!!Total!!Population of one race!!White","Estimate!!Total!!Population of one race!!Black or African American","Margin of Error!!Total!!Population of one race!!Black or African American","Annotation of Margin of Error!!Total!!Population of one race!!Black or African American","Annotation of Estimate!!Total!!Population of one race!!Black or African American","Estimate!!Total!!Population of one race!!American Indian and Alaska Native","Annotation of Estimate!!Total!!Population of one race!!American Indian and Alaska Native","Margin of Error!!Total!!Population of one race!!American Indian and Alaska Native","Annotation of Margin of Error!!Total!!Population of one race!!American Indian and Alaska Native","Estimate!!Total!!Population of one race!!Asian alone","Annotation of Estimate!!Total!!Population of one race!!Asian alone","Margin of Error!!Total!!Population of one race!!Asian alone","Annotation of Margin of Error!!Total!!Population of one race!!Asian alone","Estimate!!Total!!Population of one race!!Native Hawaiian and Other Pacific Islander","Annotation of Estimate!!Total!!Population of one race!!Native Hawaiian and Other Pacific Islander","Margin of Error!!Total!!Population of one race!!Native Hawaiian and Other Pacific Islander","Annotation of Margin of Error!!Total!!Population of one race!!Native Hawaiian and Other Pacific Islander","Estimate!!Total!!Population of one race!!Some other race","Annotation of Estimate!!Total!!Population of one race!!Some other race","Margin of Error!!Total!!Population of one race!!Some other race","Annotation of Margin of Error!!Total!!Population of one race!!Some other race","Estimate!!Total!!Population of two or more races","Annotation of Estimate!!Total!!Population of two or more races","Margin of Error!!Total!!Population of two or more races","Annotation of Margin of Error!!Total!!Population of two or more races","Estimate!!Total!!Population of two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Population of two or more races!!Two races including Some other race","Margin of Error!!Total!!Population of two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Population of two or more races!!Two races including Some other race","Estimate!!Total!!Population of two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Population of two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Population of two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Population of two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Population of two or more races!!Population of two races","Annotation of Estimate!!Total!!Population of two or more races!!Population of two races","Margin of Error!!Total!!Population of two or more races!!Population of two races","Annotation of Margin of Error!!Total!!Population of two or more races!!Population of two races","Estimate!!Total!!Population of two or more races!!Population of two races!!White; Black or African American","Margin of Error!!Total!!Population of two or more races!!Population of two races!!White; Black or African American","Annotation of Margin of Error!!Total!!Population of two or more races!!Population of two races!!White; Black or African American","Annotation of Estimate!!Total!!Population of two or more races!!Population of two races!!White; Black or African American","Estimate!!Total!!Population of two or more races!!Population of two races!!White; American Indian and Alaska Native","Margin of Error!!Total!!Population of two or more races!!Population of two races!!White; American Indian and Alaska Native","Annotation of Margin of Error!!Total!!Population of two or more races!!Population of two races!!White; American Indian and Alaska Native","Annotation of Estimate!!Total!!Population of two or more races!!Population of two races!!White; American Indian and Alaska Native","Estimate!!Total!!Population of two or more races!!Population of two races!!White; Asian","Margin of Error!!Total!!Population of two or more races!!Population of two races!!White; Asian","Annotation of Margin of Error!!Total!!Population of two or more races!!Population of two races!!White; Asian","Annotation of Estimate!!Total!!Population of two or more races!!Population of two races!!White; Asian","Estimate!!Total!!Population of two or more races!!Population of two races!!Black or African American; American Indian and Alaska Native","Annotation of Estimate!!Total!!Population of two or more races!!Population of two races!!Black or African American; American Indian and Alaska Native","Margin of Error!!Total!!Population of two or more races!!Population of two races!!Black or African American; American Indian and Alaska Native","Annotation of Margin of Error!!Total!!Population of two or more races!!Population of two races!!Black or African American; American Indian and Alaska Native","Estimate!!Total!!Population of two or more races!!Population of two races!!All other two race combinations","Annotation of Estimate!!Total!!Population of two or more races!!Population of two races!!All other two race combinations","Margin of Error!!Total!!Population of two or more races!!Population of two races!!All other two race combinations","Annotation of Margin of Error!!Total!!Population of two or more races!!Population of two races!!All other two race combinations","Estimate!!Total!!Population of two or more races!!Population of three races","Annotation of Estimate!!Total!!Population of two or more races!!Population of three races","Margin of Error!!Total!!Population of two or more races!!Population of three races","Annotation of Margin of Error!!Total!!Population of two or more races!!Population of three races","Estimate!!Total!!Population of two or more races!!Population of four or more races","Annotation of Estimate!!Total!!Population of two or more races!!Population of four or more races","Margin of Error!!Total!!Population of two or more races!!Population of four or more races","Annotation of Margin of Error!!Total!!Population of two or more races!!Population of four or more races",
"1400000US49001100100","Census Tract 1001, Beaver County, Utah","3322","null","187","null","3322","null","187","null","3233","207","null","null","0","11","null","null","50","null","61","null","0","null","11","null","0","null","11","null","39","null","48","null","0","null","11","null","0","null","11","null","0","null","11","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","null","11","null",
"1400000US49001100200","Census Tract 1002, Beaver County, Utah","3121","null","187","null","3096","null","188","null","2948","211","null","null","0","11","null","null","12","null","15","null","16","null","25","null","0","null","11","null","120","null","85","null","25","null","29","null","0","null","11","null","25","null","29","null","25","null","29","null","0","11","null","null","25","29","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","null","11","null",
"1400000US49003960100","Census Tract 9601, Box Elder County, Utah","2989","null","264","null","2981","null","265","null","2921","263","null","null","13","25","null","null","8","null","10","null","19","null","16","null","0","null","11","null","20","null","32","null","8","null","7","null","0","null","11","null","8","null","7","null","8","null","7","null","2","5","null","null","0","11","null","null","5","6","null","null","0","null","11","null","1","null","2","null","0","null","11","null","0","null","11","null",
"1400000US49003960200","Census Tract 9602, Box Elder County, Utah","7947","null","427","null","7912","null","429","null","7679","421","null","null","7","9","null","null","82","null","72","null","66","null","45","null","13","null","17","null","65","null","57","null","35","null","25","null","4","null","8","null","31","null","23","null","35","null","25","null","8","13","null","null","12","14","null","null","11","10","null","null","0","null","16","null","4","null","8","null","0","null","16","null","0","null","16","null",
"1400000US49003960300","Census Tract 9603, Box Elder County, Utah","8810","null","425","null","8551","null","423","null","7707","509","null","null","175","126","null","null","0","null","16","null","162","null","102","null","0","null","16","null","507","null","343","null","259","null","155","null","110","null","125","null","149","null","112","null","259","null","155","null","0","16","null","null","18","29","null","null","131","107","null","null","0","null","16","null","110","null","125","null","0","null","16","null","0","null","16","null",
"1400000US49003960400","Census Tract 9604, Box Elder County, Utah","4551","null","304","null","4528","null","309","null","4333","314","null","null","2","3","null","null","132","null","154","null","38","null","32","null","0","null","11","null","23","null","20","null","23","null","37","null","0","null","11","null","23","null","37","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","23","null","37","null","0","null","11","null",
"1400000US49003960500","Census Tract 9605, Box Elder County, Utah","5423","null","363","null","5237","null","374","null","4714","394","null","null","46","37","null","null","131","null","84","null","32","null","34","null","0","null","16","null","314","null","191","null","186","null","88","null","26","null","44","null","160","null","78","null","150","null","69","null","0","16","null","null","62","46","null","null","0","16","null","null","0","null","16","null","88","null","60","null","36","null","51","null","0","null","16","null",
"1400000US49003960601","Census Tract 9606.01, Box Elder County, Utah","3612","null","298","null","3612","null","298","null","3573","299","null","null","0","11","null","null","5","null","10","null","0","null","11","null","0","null","11","null","34","null","55","null","0","null","11","null","0","null","11","null","0","null","11","null","0","null","11","null","0","11","null","null","0","11","null","null","0","11","null","null","0","null","11","null","0","null","11","null","0","null","11","null","0","null","11","null",
"1400000US49003960602","Census Tract 9606.02, Box Elder County, Utah","2456","null","211","null","2387","null","210","null","2178","192","null","null","21","45","null","null","26","null","36","null","0","null","11","null","0","null","11","null","162","null","99","null","69","null","40","null","35","null","31","null","34","null","31","null","69","null","40","null","3","7","null","null","8","13","null","null","19","21","null","null","0","null","11","null","39","null","32","null","0","null","11","null","0","null","11","null",
