"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"C02003_001E","Estimate!!Total"
"C02003_001EA","Annotation of Estimate!!Total"
"C02003_001M","Margin of Error!!Total"
"C02003_001MA","Annotation of Margin of Error!!Total"
"C02003_002E","Estimate!!Total!!Population of one race"
"C02003_002EA","Annotation of Estimate!!Total!!Population of one race"
"C02003_002M","Margin of Error!!Total!!Population of one race"
"C02003_002MA","Annotation of Margin of Error!!Total!!Population of one race"
"C02003_003E","Estimate!!Total!!Population of one race!!White"
"C02003_003M","Margin of Error!!Total!!Population of one race!!White"
"C02003_003MA","Annotation of Margin of Error!!Total!!Population of one race!!White"
"C02003_003EA","Annotation of Estimate!!Total!!Population of one race!!White"
"C02003_004E","Estimate!!Total!!Population of one race!!Black or African American"
"C02003_004M","Margin of Error!!Total!!Population of one race!!Black or African American"
"C02003_004MA","Annotation of Margin of Error!!Total!!Population of one race!!Black or African American"
"C02003_004EA","Annotation of Estimate!!Total!!Population of one race!!Black or African American"
"C02003_005E","Estimate!!Total!!Population of one race!!American Indian and Alaska Native"
"C02003_005EA","Annotation of Estimate!!Total!!Population of one race!!American Indian and Alaska Native"
"C02003_005M","Margin of Error!!Total!!Population of one race!!American Indian and Alaska Native"
"C02003_005MA","Annotation of Margin of Error!!Total!!Population of one race!!American Indian and Alaska Native"
"C02003_006E","Estimate!!Total!!Population of one race!!Asian alone"
"C02003_006EA","Annotation of Estimate!!Total!!Population of one race!!Asian alone"
"C02003_006M","Margin of Error!!Total!!Population of one race!!Asian alone"
"C02003_006MA","Annotation of Margin of Error!!Total!!Population of one race!!Asian alone"
"C02003_007E","Estimate!!Total!!Population of one race!!Native Hawaiian and Other Pacific Islander"
"C02003_007EA","Annotation of Estimate!!Total!!Population of one race!!Native Hawaiian and Other Pacific Islander"
"C02003_007M","Margin of Error!!Total!!Population of one race!!Native Hawaiian and Other Pacific Islander"
"C02003_007MA","Annotation of Margin of Error!!Total!!Population of one race!!Native Hawaiian and Other Pacific Islander"
"C02003_008E","Estimate!!Total!!Population of one race!!Some other race"
"C02003_008EA","Annotation of Estimate!!Total!!Population of one race!!Some other race"
"C02003_008M","Margin of Error!!Total!!Population of one race!!Some other race"
"C02003_008MA","Annotation of Margin of Error!!Total!!Population of one race!!Some other race"
"C02003_009E","Estimate!!Total!!Population of two or more races"
"C02003_009EA","Annotation of Estimate!!Total!!Population of two or more races"
"C02003_009M","Margin of Error!!Total!!Population of two or more races"
"C02003_009MA","Annotation of Margin of Error!!Total!!Population of two or more races"
"C02003_010E","Estimate!!Total!!Population of two or more races!!Two races including Some other race"
"C02003_010EA","Annotation of Estimate!!Total!!Population of two or more races!!Two races including Some other race"
"C02003_010M","Margin of Error!!Total!!Population of two or more races!!Two races including Some other race"
"C02003_010MA","Annotation of Margin of Error!!Total!!Population of two or more races!!Two races including Some other race"
"C02003_011E","Estimate!!Total!!Population of two or more races!!Two races excluding Some other race, and three or more races"
"C02003_011EA","Annotation of Estimate!!Total!!Population of two or more races!!Two races excluding Some other race, and three or more races"
"C02003_011M","Margin of Error!!Total!!Population of two or more races!!Two races excluding Some other race, and three or more races"
"C02003_011MA","Annotation of Margin of Error!!Total!!Population of two or more races!!Two races excluding Some other race, and three or more races"
"C02003_012E","Estimate!!Total!!Population of two or more races!!Population of two races"
"C02003_012EA","Annotation of Estimate!!Total!!Population of two or more races!!Population of two races"
"C02003_012M","Margin of Error!!Total!!Population of two or more races!!Population of two races"
"C02003_012MA","Annotation of Margin of Error!!Total!!Population of two or more races!!Population of two races"
"C02003_013E","Estimate!!Total!!Population of two or more races!!Population of two races!!White; Black or African American"
"C02003_013M","Margin of Error!!Total!!Population of two or more races!!Population of two races!!White; Black or African American"
"C02003_013MA","Annotation of Margin of Error!!Total!!Population of two or more races!!Population of two races!!White; Black or African American"
"C02003_013EA","Annotation of Estimate!!Total!!Population of two or more races!!Population of two races!!White; Black or African American"
"C02003_014E","Estimate!!Total!!Population of two or more races!!Population of two races!!White; American Indian and Alaska Native"
"C02003_014M","Margin of Error!!Total!!Population of two or more races!!Population of two races!!White; American Indian and Alaska Native"
"C02003_014MA","Annotation of Margin of Error!!Total!!Population of two or more races!!Population of two races!!White; American Indian and Alaska Native"
