STATE,COUNTY,FIPS,RPL_THEMES,F_TOTAL
UTAH,Salt Lake,49035112818,-999.0,-999
UTAH,Salt Lake,49035980000,-999.0,-999
UTAH,Tooele,49045980000,-999.0,-999
UTAH,Utah,49049980100,-999.0,-999
UTAH,Utah,49049010217,0.0,1
UTAH,Utah,49049003104,0.0017,1
UTAH,Summit,49043964307,0.0034,0
UTAH,Salt Lake,49035103600,0.0051,0
UTAH,Davis,49011126105,0.0069,0
UTAH,Utah,49049010208,0.0086,1
UTAH,Summit,49043964303,0.0103,0
UTAH,Salt Lake,49035103700,0.012,0
UTAH,Davis,49011126104,0.0137,1
UTAH,Summit,49043964306,0.0154,0
UTAH,Utah,49049000604,0.0172,0
UTAH,Utah,49049010218,0.0189,1
UTAH,Salt Lake,49035103800,0.0206,0
UTAH,Salt Lake,49035113013,0.0223,0
UTAH,Utah,49049010211,0.024,1
UTAH,Davis,49011126303,0.0257,0
UTAH,Davis,49011126203,0.0274,0
UTAH,Salt Lake,49035113008,0.0292,0
UTAH,Salt Lake,49035112619,0.0309,0
UTAH,Salt Lake,49035112617,0.0326,0
UTAH,Salt Lake,49035112815,0.0343,0
UTAH,Salt Lake,49035112615,0.036,0
UTAH,Utah,49049010110,0.0377,1
UTAH,Salt Lake,49035112813,0.0395,0
UTAH,Cache,49005000402,0.0412,0
UTAH,Davis,49011126802,0.0429,1
UTAH,Davis,49011126405,0.0446,0
UTAH,Utah,49049010113,0.0463,1
UTAH,Summit,49043964308,0.048,1
UTAH,Davis,49011126002,0.0497,1
UTAH,Davis,49011125401,0.0515,0
UTAH,Salt Lake,49035110103,0.0532,0
UTAH,Salt Lake,49035111302,0.0549,0
UTAH,Utah,49049000205,0.0566,1
UTAH,Salt Lake,49035112609,0.0583,0
UTAH,Davis,49011126305,0.06,1
UTAH,Utah,49049010406,0.0617,1
UTAH,Salt Lake,49035113014,0.0635,0
UTAH,Weber,49057210303,0.0652,0
UTAH,Summit,49043964401,0.0669,2
UTAH,Utah,49049010216,0.0686,1
UTAH,Salt Lake,49035111304,0.0703,0
UTAH,Salt Lake,49035113012,0.072,0
UTAH,Morgan,49029970200,0.0738,1
UTAH,Cache,49005980100,0.0755,2
UTAH,Davis,49011126402,0.0772,0
UTAH,Salt Lake,49035111306,0.0789,1
UTAH,Utah,49049000710,0.0806,0
UTAH,Davis,49011126801,0.0823,0
UTAH,Salt Lake,49035112821,0.084,1
UTAH,Salt Lake,49035104800,0.0858,0
UTAH,Utah,49049010219,0.0875,0
UTAH,Salt Lake,49035110102,0.0892,1
UTAH,Salt Lake,49035112805,0.0909,0
UTAH,Salt Lake,49035110200,0.0926,0
UTAH,Salt Lake,49035113016,0.0943,1
UTAH,Utah,49049000507,0.0961,0
UTAH,Morgan,49029970100,0.0978,0
UTAH,Box Elder,49003960802,0.0995,1
UTAH,Utah,49049010106,0.1012,1
UTAH,Utah,49049010303,0.1029,0
UTAH,Salt Lake,49035101000,0.1046,0
UTAH,Utah,49049010209,0.1063,0
UTAH,Salt Lake,49035104400,0.1081,0
UTAH,Salt Lake,49035110900,0.1098,0
UTAH,Salt Lake,49035112608,0.1115,0
UTAH,Davis,49011126404,0.1132,0
UTAH,Cache,49005001201,0.1149,0
UTAH,Utah,49049000206,0.1166,0
UTAH,Utah,49049010405,0.1184,1
UTAH,Utah,49049010213,0.1201,1
UTAH,Summit,49043964203,0.1218,2
UTAH,Weber,49057210504,0.1235,0
UTAH,Salt Lake,49035104700,0.1252,0
UTAH,Utah,49049003203,0.1252,0
UTAH,Salt Lake,49035104000,0.1286,0
UTAH,Salt Lake,49035110600,0.1304,0
UTAH,Weber,49057210201,0.1321,0
UTAH,Salt Lake,49035110104,0.1338,1
UTAH,Cache,49005001102,0.1355,0
UTAH,Salt Lake,49035114800,0.1372,2
UTAH,Salt Lake,49035112814,0.1389,0
UTAH,Salt Lake,49035104200,0.1407,1
UTAH,Utah,49049010411,0.1424,0
UTAH,Salt Lake,49035101200,0.1441,1
UTAH,Utah,49049010409,0.1458,1
UTAH,Salt Lake,49035111001,0.1475,1
UTAH,Utah,49049010112,0.1492,1
UTAH,Salt Lake,49035115106,0.1509,1
UTAH,Davis,49011126204,0.1527,0
UTAH,Salt Lake,49035103900,0.1544,0
UTAH,Salt Lake,49035113105,0.1561,1
UTAH,Salt Lake,49035113020,0.1578,1
UTAH,Salt Lake,49035113011,0.1595,0
UTAH,Utah,49049010900,0.1612,1
UTAH,Salt Lake,49035100200,0.163,2
UTAH,Salt Lake,49035113019,0.1647,0
UTAH,Utah,49049010105,0.1664,1
UTAH,Utah,49049000105,0.1681,0
UTAH,Salt Lake,49035110500,0.1698,0
UTAH,Washington,49053271701,0.1715,1
UTAH,Salt Lake,49035112618,0.1732,0
UTAH,Wasatch,49051960400,0.175,0
UTAH,Utah,49049010214,0.1767,1
UTAH,Weber,49057210508,0.1784,0
UTAH,Salt Lake,49035113007,0.1801,0
UTAH,Salt Lake,49035113010,0.1818,2
UTAH,Salt Lake,49035114100,0.1835,0
UTAH,Utah,49049000104,0.1852,0
UTAH,Utah,49049010408,0.187,1
UTAH,Salt Lake,49035114600,0.1887,0
UTAH,Davis,49011127003,0.1904,0
UTAH,Weber,49057201400,0.1921,0
UTAH,Weber,49057210203,0.1938,0
UTAH,Davis,49011126304,0.1955,0
UTAH,Salt Lake,49035112820,0.1973,0
UTAH,Box Elder,49003960801,0.199,0
UTAH,Salt Lake,49035112302,0.2007,0
UTAH,Salt Lake,49035112913,0.2024,1
UTAH,Utah,49049000505,0.2041,0
UTAH,Washington,49053270500,0.2058,0
UTAH,Salt Lake,49035113102,0.2075,0
UTAH,Cache,49005001202,0.2093,1
UTAH,Salt Lake,49035112804,0.211,0
UTAH,Cache,49005001300,0.2127,0
UTAH,Weber,49057210404,0.2144,0
UTAH,Davis,49011125104,0.2161,0
UTAH,Salt Lake,49035111305,0.2178,1
UTAH,Salt Lake,49035110300,0.2196,0
UTAH,Davis,49011125403,0.2213,1
UTAH,Utah,49049010111,0.223,1
UTAH,Utah,49049002101,0.2247,1
UTAH,Davis,49011125102,0.2264,0
UTAH,Davis,49011125305,0.2281,0
UTAH,Davis,49011125908,0.2298,0
UTAH,Davis,49011126101,0.2316,0
UTAH,Salt Lake,49035104100,0.2333,1
