CensusTract,State,County,Urban,Low_access
49001100100,Utah,Beaver County,0,0
49001100200,Utah,Beaver County,0,0
49003960100,Utah,Box Elder County,0,0
49003960200,Utah,Box Elder County,0,0
49003960300,Utah,Box Elder County,1,1
49003960400,Utah,Box Elder County,0,0
49003960500,Utah,Box Elder County,1,1
49003960601,Utah,Box Elder County,1,1
49003960602,Utah,Box Elder County,0,0
49003960701,Utah,Box Elder County,1,1
49003960702,Utah,Box Elder County,1,1
49003960801,Utah,Box Elder County,0,0
49003960802,Utah,Box Elder County,1,1
49005000101,Utah,Cache County,0,0
49005000102,Utah,Cache County,0,0
49005000201,Utah,Cache County,1,1
49005000202,Utah,Cache County,1,1
49005000300,Utah,Cache County,0,0
49005000401,Utah,Cache County,1,1
49005000402,Utah,Cache County,0,0
49005000403,Utah,Cache County,1,1
49005000501,Utah,Cache County,1,1
49005000502,Utah,Cache County,1,1
49005000600,Utah,Cache County,1,1
49005000701,Utah,Cache County,1,1
49005000702,Utah,Cache County,1,1
49005000800,Utah,Cache County,1,1
49005000900,Utah,Cache County,1,1
49005001001,Utah,Cache County,1,1
49005001002,Utah,Cache County,1,1
49005001101,Utah,Cache County,1,1
49005001102,Utah,Cache County,1,1
49005001201,Utah,Cache County,1,1
49005001202,Utah,Cache County,1,1
49005001300,Utah,Cache County,0,0
49005001401,Utah,Cache County,1,1
49005001402,Utah,Cache County,1,1
49005001500,Utah,Cache County,0,0
49005980100,Utah,Cache County,0,0
49007000100,Utah,Carbon County,0,0
49007000200,Utah,Carbon County,0,0
49007000300,Utah,Carbon County,1,1
49007000500,Utah,Carbon County,1,1
49007000600,Utah,Carbon County,0,0
49009960100,Utah,Daggett County,0,0
49011125102,Utah,Davis County,0,0
49011125103,Utah,Davis County,1,1
49011125104,Utah,Davis County,1,1
49011125200,Utah,Davis County,1,1
49011125301,Utah,Davis County,1,1
49011125303,Utah,Davis County,1,1
49011125304,Utah,Davis County,1,1
49011125305,Utah,Davis County,1,1
49011125401,Utah,Davis County,1,1
49011125403,Utah,Davis County,1,1
49011125405,Utah,Davis County,1,1
49011125406,Utah,Davis County,1,1
49011125501,Utah,Davis County,1,0
49011125502,Utah,Davis County,1,1
49011125503,Utah,Davis County,1,1
49011125600,Utah,Davis County,1,1
49011125701,Utah,Davis County,1,1
49011125702,Utah,Davis County,1,1
49011125801,Utah,Davis County,1,1
49011125804,Utah,Davis County,1,1
49011125805,Utah,Davis County,1,1
49011125807,Utah,Davis County,1,1
49011125808,Utah,Davis County,1,1
49011125905,Utah,Davis County,1,1
49011125906,Utah,Davis County,1,1
49011125907,Utah,Davis County,1,1
49011125908,Utah,Davis County,1,1
49011126001,Utah,Davis County,1,1
49011126002,Utah,Davis County,1,1
49011126101,Utah,Davis County,1,1
49011126104,Utah,Davis County,1,1
49011126105,Utah,Davis County,1,1
49011126202,Utah,Davis County,1,1
49011126203,Utah,Davis County,1,1
49011126204,Utah,Davis County,1,1
49011126303,Utah,Davis County,1,1
49011126304,Utah,Davis County,1,1
49011126305,Utah,Davis County,1,1
49011126306,Utah,Davis County,1,1
49011126402,Utah,Davis County,1,1
49011126404,Utah,Davis County,1,1
49011126405,Utah,Davis County,1,1
49011126406,Utah,Davis County,1,1
49011126500,Utah,Davis County,1,1
49011126600,Utah,Davis County,1,1
49011126700,Utah,Davis County,1,1
49011126801,Utah,Davis County,1,1
49011126802,Utah,Davis County,1,1
49011126901,Utah,Davis County,1,1
49011126902,Utah,Davis County,1,1
49011127002,Utah,Davis County,1,1
49011127003,Utah,Davis County,0,0
49011127004,Utah,Davis County,1,1
49011127100,Utah,Davis County,1,1
49013940300,Utah,Duchesne County,0,0
49013940500,Utah,Duchesne County,1,1
49013940600,Utah,Duchesne County,0,0
49015976200,Utah,Emery County,0,0
49015976300,Utah,Emery County,1,1
49015976500,Utah,Emery County,0,0
49017000300,Utah,Garfield County,0,0
49017000400,Utah,Garfield County,0,0
49019000200,Utah,Grand County,1,1
49019000300,Utah,Grand County,0,0
49021110100,Utah,Iron County,1,1
49021110200,Utah,Iron County,1,1
49021110300,Utah,Iron County,0,0
49021110400,Utah,Iron County,1,1
49021110500,Utah,Iron County,1,1
49021110600,Utah,Iron County,1,1
49021110701,Utah,Iron County,0,0
49021110702,Utah,Iron County,0,0
49023010100,Utah,Juab County,1,1
49023010200,Utah,Juab County,0,0
49025130100,Utah,Kane County,0,0
49025130200,Utah,Kane County,1,1
49027974100,Utah,Millard County,0,0
49027974200,Utah,Millard County,0,0
49027974300,Utah,Millard County,0,0
49029970100,Utah,Morgan County,0,0
49029970200,Utah,Morgan County,0,0
49031960100,Utah,Piute County,0,0
49033950100,Utah,Rich County,0,0
49035100100,Utah,Salt Lake County,1,1
49035100200,Utah,Salt Lake County,1,1
49035100306,Utah,Salt Lake County,1,1
49035100307,Utah,Salt Lake County,1,1
49035100308,Utah,Salt Lake County,1,1
49035100500,Utah,Salt Lake County,1,1
49035100600,Utah,Salt Lake County,1,1
49035100700,Utah,Salt Lake County,1,1
49035100800,Utah,Salt Lake County,1,1
49035101000,Utah,Salt Lake County,1,0
49035101101,Utah,Salt Lake County,1,0
49035101102,Utah,Salt Lake County,1,0
49035101200,Utah,Salt Lake County,1,1
49035101400,Utah,Salt Lake County,1,1
49035101500,Utah,Salt Lake County,1,1
49035101600,Utah,Salt Lake County,1,1
49035101700,Utah,Salt Lake County,1,1
49035101800,Utah,Salt Lake County,1,0
49035101900,Utah,Salt Lake County,1,0
49035102000,Utah,Salt Lake County,1,0
49035102100,Utah,Salt Lake County,1,0
49035102300,Utah,Salt Lake County,1,0
49035102500,Utah,Salt Lake County,1,1
49035102600,Utah,Salt Lake County,1,1
49035102701,Utah,Salt Lake County,1,1
49035102702,Utah,Salt Lake County,1,1
49035102801,Utah,Salt Lake County,1,0
49035102802,Utah,Salt Lake County,1,1
49035102900,Utah,Salt Lake County,1,1
49035103000,Utah,Salt Lake County,1,1
49035103100,Utah,Salt Lake County,1,1
49035103200,Utah,Salt Lake County,1,1
49035103300,Utah,Salt Lake County,1,0
49035103400,Utah,Salt Lake County,1,0
49035103500,Utah,Salt Lake County,1,1
49035103600,Utah,Salt Lake County,1,1
49035103700,Utah,Salt Lake County,1,0
49035103800,Utah,Salt Lake County,1,1
49035103900,Utah,Salt Lake County,1,1
