,FIPS,Urban,Total_population,P_WH,P_AA,P_AI,P_AS,P_NH,P_OR,P_2R,P_Latino,P_native,P_FB,P_citizen,P_non-citizen,P_NoSchool,P_HS_no_degree,P_HS_or_GED,P_some_college,P_college_degree,P_Masters_prof_doc,P_limited_eng,Poverty_rate,MED_HH_income,UE_rate,P_UI,P_Insured,P_UI_under_18,P_UI_18-64,P_UI_65_over,P_any_private_ins,P_any_public_ins,P_Medicare_alone,P_Medicaid_alone,Respiratory HI,Low_access,GINI
0,49001100100,0.0,3319,0.9755950587526363,0.0,0.013558300692979813,0.0,0.0,0.01084664055438385,0.0,0.10063272069900572,0.9472732750828563,0.05272672491714372,0.9648255813953488,0.03517441860465116,0.030044843049327353,0.08520179372197309,0.32152466367713006,0.2717488789237668,0.2547085201793722,0.036771300448430494,0.052701801200800535,0.07506527415143603,57926.0,0.011000000000000001,0.11699999999999999,0.883,0.096,0.175,0.0,0.7240000000000001,0.27899999999999997,0.192,0.10400000000000001,0.1,0.0,0.4012
1,49001100200,0.0,3198,0.8958724202626641,0.0,0.005628517823639775,0.0059412132582864294,0.0,0.03971232020012508,0.052845528455284556,0.13946216385240776,0.9018136335209506,0.09818636647904941,0.9367311072056239,0.0632688927943761,0.062354583527221966,0.0604932526756631,0.32992089343880876,0.27594229874360165,0.2331316891577478,0.03815728245695672,0.08149931224209078,0.10159480212640283,53068.0,0.055999999999999994,0.13699999999999998,0.863,0.154,0.152,0.0,0.7609999999999999,0.191,0.11699999999999999,0.084,0.1,0.0,0.3776
2,49003960100,0.0,3265,0.9583460949464012,0.008575803981623277,0.0027565084226646246,0.004287901990811639,0.0,0.004594180704441042,0.021439509954058193,0.022664624808575805,0.9831546707503829,0.016845329249617153,0.9963381141287763,0.00366188587122368,0.022851919561243144,0.06855575868372943,0.41544789762340034,0.28793418647166363,0.15539305301645337,0.04981718464351006,0.010851693521867807,0.04830917874396135,63815.0,0.019,0.064,0.9359999999999999,0.066,0.08,0.0,0.809,0.22399999999999998,0.146,0.081,0.2,0.0,0.3966
3,49003960200,0.0,7929,0.9745238996090302,0.0013873123975280616,0.0054231302812460585,0.00340522133938706,0.0020179089418589985,0.008954470929499306,0.004288056501450372,0.08727456173540168,0.9839828477739943,0.0160171522260058,0.9949805496298155,0.005019450370184465,0.020620471855842468,0.04495634404607096,0.38491547464239273,0.2695522942597065,0.23184098086568827,0.04811443433029909,0.02748763056624519,0.07127979634343902,67370.0,0.05,0.062,0.938,0.037000000000000005,0.08900000000000001,0.0,0.807,0.233,0.114,0.11900000000000001,0.2,0.0,0.3259
4,49003960300,1.0,8960,0.9083705357142857,0.022321428571428572,0.0002232142857142857,0.010379464285714285,0.0,0.031026785714285715,0.027678571428571427,0.1341517857142857,0.94296875,0.05703125,0.9811651335961454,0.018834866403854577,0.042613136115513296,0.05951752069026237,0.3375594294770206,0.32223983095615427,0.17943299876738864,0.058637083993660855,0.06254767353165523,0.0973330294050604,52283.0,0.037000000000000005,0.079,0.9209999999999999,0.034,0.124,0.022000000000000002,0.7509999999999999,0.23,0.106,0.141,0.2,1.0,0.3355
5,49003960400,0.0,4913,0.8943618970079381,0.0006106248727864848,0.036230409118664764,0.01384083044982699,0.0,0.05169957256258905,0.003256665988194586,0.08792998168125382,0.9668227152452676,0.03317728475473234,0.9765454184058835,0.023454581594116477,0.03426698450536353,0.028605482717520857,0.3310488676996424,0.31138259833134685,0.25446960667461266,0.04022646007151371,0.055979089522979746,0.04331450094161959,63203.0,0.018000000000000002,0.068,0.932,0.049,0.092,0.012,0.813,0.217,0.12,0.105,0.2,0.0,0.3457
6,49003960500,1.0,5548,0.8898702235039654,0.0032444124008651765,0.02883922134102379,0.003604902667627974,0.0,0.05227108868060562,0.02217015140591204,0.09841384282624369,0.976928622927181,0.023071377072819033,0.9828166519043401,0.017183348095659877,0.03944618599791014,0.04049111807732497,0.37434691745036575,0.3059038662486938,0.18756530825496343,0.0522466039707419,0.06344827586206897,0.12078152753108348,57022.0,0.045,0.094,0.9059999999999999,0.08199999999999999,0.121,0.016,0.7959999999999999,0.21,0.141,0.09300000000000001,0.2,1.0,0.3919
7,49003960601,1.0,3638,0.9653655854865311,0.0,0.0021990104452996153,0.0,0.0,0.032435404068169325,0.0,0.10445299615173172,0.9868059373282023,0.013194062671797692,0.9910106238082267,0.008989376191773358,0.010670731707317074,0.08307926829268293,0.35708841463414637,0.31897865853658536,0.1642530487804878,0.06592987804878049,0.03396453261196273,0.12186732186732187,48750.0,0.08199999999999999,0.134,0.866,0.151,0.161,0.0,0.723,0.28600000000000003,0.175,0.151,0.2,1.0,0.396
8,49003960602,0.0,2378,0.883515559293524,0.021026072329688814,0.0037846930193439865,0.005046257359125316,0.0,0.06265769554247266,0.02396972245584525,0.09335576114381834,0.9529015979814971,0.04709840201850295,0.9647058823529412,0.03529411764705882,0.019412090959511925,0.03494176372712146,0.23183582917359954,0.2795341098169717,0.3300055463117027,0.10427066001109263,0.026189436927106065,0.035455278001611606,72330.0,0.055,0.035,0.965,0.033,0.048,0.0,0.8640000000000001,0.254,0.203,0.063,0.2,0.0,0.36
9,49003960701,1.0,5327,0.9121456729866717,0.006570302233902759,0.02064952130655153,0.025342594330767788,0.005256241787122208,0.011075652337150367,0.01896001501783368,0.15299418058944997,0.9281021212690069,0.07189787873099306,0.9641628959276018,0.03583710407239819,0.07039956509921175,0.0502854036422941,0.28322913835281327,0.29410165805925526,0.2508833922261484,0.05110084262027725,0.08660461351679483,0.02850877192982456,51847.0,0.06,0.102,0.898,0.085,0.141,0.0,0.731,0.271,0.156,0.13,0.2,1.0,0.3388
